species_name,neighbourhood_name,date_planted
CALLERYANA,MOUNT PLEASANT,1994-11-16
CALLERYANA,MOUNT PLEASANT,1994-11-16
ARIA,GRANDVIEW-WOODLAND,1994-11-15
ARIA,GRANDVIEW-WOODLAND,1994-11-15
PLATANOIDES,KITSILANO,1994-11-15
PLATANOIDES,KITSILANO,1994-11-15
PLATANOIDES,KITSILANO,1994-11-15
PLATANOIDES,HASTINGS-SUNRISE,1994-11-03
PLATANOIDES,HASTINGS-SUNRISE,1994-11-03
PLATANOIDES,HASTINGS-SUNRISE,1994-11-01
AMERICANA,KITSILANO,1994-10-11
AMERICANA,KITSILANO,1994-10-11
ZUMI,GRANDVIEW-WOODLAND,1994-10-31
CALLERYANA,GRANDVIEW-WOODLAND,1994-11-03
CERASIFERA,HASTINGS-SUNRISE,1994-11-08
PLATANOIDES,KENSINGTON-CEDAR COTTAGE,1994-11-18
ARIA,KENSINGTON-CEDAR COTTAGE,1994-11-08
RUBRUM,MOUNT PLEASANT,1994-11-10
RUBRUM,SUNSET,1994-11-10
RUBRUM,SUNSET,1994-11-10
RUBRUM,SUNSET,1994-11-16
PENNSYLVANICA,SUNSET,1994-11-16
PENNSYLVANICA,SUNSET,1994-11-16
CALLERYANA,MOUNT PLEASANT,1994-11-16
CALLERYANA,MOUNT PLEASANT,1994-11-16
CALLERYANA,MOUNT PLEASANT,1994-11-16
OXYCARPA,ARBUTUS-RIDGE,1995-01-31
PSEUDOACACIA,ARBUTUS-RIDGE,2000-03-23
OXYCARPA,ARBUTUS-RIDGE,1995-02-01
TRIACANTHOS,RILEY PARK,1994-12-14
PENNSYLVANICA,RILEY PARK,1994-12-14
TRIACANTHOS,RILEY PARK,1994-12-14
FREEMANI   X,RENFREW-COLLINGWOOD,1994-12-12
FREEMANI   X,RENFREW-COLLINGWOOD,1994-12-12
BETULUS,RENFREW-COLLINGWOOD,1994-12-14
BETULUS,KILLARNEY,1994-12-14
BETULUS,KILLARNEY,1994-12-14
TRIACANTHOS,KITSILANO,1994-12-13
PENNSYLVANICA,KITSILANO,1994-12-13
TRIACANTHOS,KITSILANO,1994-12-13
PLATANOIDES,HASTINGS-SUNRISE,1994-11-28
FREEMANI   X,RENFREW-COLLINGWOOD,1994-12-13
FREEMANI   X,RENFREW-COLLINGWOOD,1994-12-13
FREEMANI   X,RENFREW-COLLINGWOOD,1994-12-13
FREEMANI   X,KILLARNEY,1994-12-13
RUBRUM,HASTINGS-SUNRISE,1994-12-13
AMERICANA,KENSINGTON-CEDAR COTTAGE,1994-12-13
PLATANOIDES,HASTINGS-SUNRISE,1994-11-21
PLATANOIDES,HASTINGS-SUNRISE,1994-11-21
RUBRUM,KENSINGTON-CEDAR COTTAGE,1994-11-22
PLATANOIDES,KENSINGTON-CEDAR COTTAGE,1994-12-07
PENNSYLVANICA,KENSINGTON-CEDAR COTTAGE,1994-12-01
PENNSYLVANICA,KENSINGTON-CEDAR COTTAGE,1994-12-01
PENNSYLVANICA,KENSINGTON-CEDAR COTTAGE,1994-12-01
PLATANOIDES,KENSINGTON-CEDAR COTTAGE,1994-12-05
BETULUS,HASTINGS-SUNRISE,1994-12-05
RUBRUM,HASTINGS-SUNRISE,1994-12-05
PLATANOIDES,KENSINGTON-CEDAR COTTAGE,1994-12-02
PENNSYLVANICA,KENSINGTON-CEDAR COTTAGE,1994-11-30
RUBRUM,HASTINGS-SUNRISE,1994-12-06
BETULUS,HASTINGS-SUNRISE,1994-12-06
RUBRUM,HASTINGS-SUNRISE,1994-12-06
PENNSYLVANICA,KITSILANO,1994-12-12
PLATANOIDES,VICTORIA-FRASERVIEW,1994-12-12
RUBRUM,VICTORIA-FRASERVIEW,1994-12-12
PLATANOIDES,VICTORIA-FRASERVIEW,1994-12-12
PLATANOIDES,KENSINGTON-CEDAR COTTAGE,1994-12-12
ROBUR,KENSINGTON-CEDAR COTTAGE,1994-12-12
PENNSYLVANICA,KENSINGTON-CEDAR COTTAGE,1994-12-05
ARIA,KENSINGTON-CEDAR COTTAGE,1994-12-05
ARIA,KENSINGTON-CEDAR COTTAGE,1994-12-05
RUBRUM,HASTINGS-SUNRISE,1994-12-12
ROBUR,HASTINGS-SUNRISE,1994-12-12
RUBRUM,KENSINGTON-CEDAR COTTAGE,1994-12-07
RUBRUM,KENSINGTON-CEDAR COTTAGE,1994-12-07
RUBRUM,KENSINGTON-CEDAR COTTAGE,1994-12-07
RUBRUM,KENSINGTON-CEDAR COTTAGE,1994-12-07
BETULUS,RENFREW-COLLINGWOOD,1994-12-08
BETULUS,RENFREW-COLLINGWOOD,1994-12-08
BETULUS,RENFREW-COLLINGWOOD,1994-12-08
BETULUS,RENFREW-COLLINGWOOD,1994-12-08
BETULUS,RENFREW-COLLINGWOOD,1994-12-08
BETULUS,RENFREW-COLLINGWOOD,1994-12-08
FREEMANI   X,RENFREW-COLLINGWOOD,1994-12-08
FREEMANI   X,RENFREW-COLLINGWOOD,1994-12-08
PENNSYLVANICA,KITSILANO,1994-12-09
PENNSYLVANICA,KITSILANO,1994-12-08
PENNSYLVANICA,KITSILANO,1994-12-08
PENNSYLVANICA,KITSILANO,1994-12-08
BETULUS,RENFREW-COLLINGWOOD,1994-12-07
RUBRUM,HASTINGS-SUNRISE,1994-12-06
RUBRUM,HASTINGS-SUNRISE,1994-12-06
RUBRUM,HASTINGS-SUNRISE,1994-12-06
ZUMI,SHAUGHNESSY,1995-02-22
CALLERYANA,KILLARNEY,1994-11-22
CERASIFERA,SUNSET,1994-12-14
ROBUR,HASTINGS-SUNRISE,1994-12-09
RUBRUM,GRANDVIEW-WOODLAND,1994-11-29
RUBRUM,GRANDVIEW-WOODLAND,1994-11-29
RUBRUM,GRANDVIEW-WOODLAND,1994-11-29
RUBRUM,GRANDVIEW-WOODLAND,1994-11-29
RUBRUM,KENSINGTON-CEDAR COTTAGE,1994-11-29
BETULUS,KENSINGTON-CEDAR COTTAGE,1994-11-24
BETULUS,KENSINGTON-CEDAR COTTAGE,1994-11-24
PLATANOIDES,HASTINGS-SUNRISE,1994-11-29
BETULUS,HASTINGS-SUNRISE,2004-11-27
RUBRUM,GRANDVIEW-WOODLAND,1994-11-28
PLATANOIDES,HASTINGS-SUNRISE,1994-11-24
PLATANOIDES,KENSINGTON-CEDAR COTTAGE,1994-11-29
CALLERYANA,KENSINGTON-CEDAR COTTAGE,1994-11-29
BETULUS,KENSINGTON-CEDAR COTTAGE,1994-11-23
RUBRUM,KENSINGTON-CEDAR COTTAGE,1994-11-23
BETULUS,KENSINGTON-CEDAR COTTAGE,1994-11-23
PLATANOIDES,KENSINGTON-CEDAR COTTAGE,1994-11-25
PLATANOIDES,KENSINGTON-CEDAR COTTAGE,1994-11-25
PLATANOIDES,KENSINGTON-CEDAR COTTAGE,1994-11-25
PLATANOIDES,KENSINGTON-CEDAR COTTAGE,1994-11-25
OXYCARPA,ARBUTUS-RIDGE,1995-02-02
ORNUS,KENSINGTON-CEDAR COTTAGE,2005-02-24
STYRACIFLUA,SHAUGHNESSY,1998-04-20
TRUNCATUM,WEST END,2009-04-01
FREEMANI   X,WEST END,2008-12-03
BETULUS,KILLARNEY,1994-12-15
BETULUS,KILLARNEY,1994-12-15
PLATANOIDES,KENSINGTON-CEDAR COTTAGE,1994-12-21
PLATANOIDES,KENSINGTON-CEDAR COTTAGE,1994-12-21
PLATANOIDES,KENSINGTON-CEDAR COTTAGE,1994-12-21
PENNSYLVANICA,KENSINGTON-CEDAR COTTAGE,1994-12-21
PLATANOIDES,KENSINGTON-CEDAR COTTAGE,1994-12-21
CERASIFERA,SUNSET,1994-12-15
CERASIFERA,SUNSET,1994-12-15
PLATANOIDES,KENSINGTON-CEDAR COTTAGE,1994-11-30
TRIACANTHOS,RILEY PARK,1994-12-16
PLATANOIDES,HASTINGS-SUNRISE,1994-12-19
PLATANOIDES,HASTINGS-SUNRISE,1994-12-19
CERASIFERA,KENSINGTON-CEDAR COTTAGE,1995-01-19
CERASIFERA,KENSINGTON-CEDAR COTTAGE,1995-01-19
CERASIFERA,KENSINGTON-CEDAR COTTAGE,1995-01-19
CALLERYANA,STRATHCONA,1995-01-20
ROBUR,STRATHCONA,1995-01-13
RUBRUM,STRATHCONA,1995-01-13
ROBUR,KENSINGTON-CEDAR COTTAGE,1995-01-17
CERASIFERA,KENSINGTON-CEDAR COTTAGE,1995-01-17
CERASIFERA,KENSINGTON-CEDAR COTTAGE,1995-01-17
CERASIFERA,KENSINGTON-CEDAR COTTAGE,1995-01-17
CALLERYANA,STRATHCONA,1995-01-17
CERASIFERA,KENSINGTON-CEDAR COTTAGE,1995-01-18
CERASIFERA,KENSINGTON-CEDAR COTTAGE,1995-01-18
CALLERYANA,STRATHCONA,1995-01-18
CALLERYANA,GRANDVIEW-WOODLAND,1994-11-01
ZUMI,GRANDVIEW-WOODLAND,1994-11-01
CALLERYANA,GRANDVIEW-WOODLAND,1994-11-01
ZUMI,GRANDVIEW-WOODLAND,1994-11-01
PLATANOIDES,HASTINGS-SUNRISE,1994-12-20
PLATANOIDES,HASTINGS-SUNRISE,1994-12-20
PLATANOIDES,HASTINGS-SUNRISE,1994-12-20
RUBRUM,KENSINGTON-CEDAR COTTAGE,1995-01-24
ACERIFOLIA   X,GRANDVIEW-WOODLAND,2006-02-02
STYRACIFLUA,KENSINGTON-CEDAR COTTAGE,1995-11-12
RUBRUM,KENSINGTON-CEDAR COTTAGE,1995-11-12
ROBUR,KENSINGTON-CEDAR COTTAGE,1995-01-12
ROBUR,KENSINGTON-CEDAR COTTAGE,1995-01-12
PLATANOIDES,STRATHCONA,1995-01-12
RUBRUM,STRATHCONA,1995-01-03
TRIACANTHOS,STRATHCONA,1995-01-03
TRIACANTHOS,STRATHCONA,1995-01-03
TRIACANTHOS,STRATHCONA,1995-01-03
TRIACANTHOS,STRATHCONA,1995-01-09
TRIACANTHOS,STRATHCONA,1995-01-09
X YEDOENSIS,STRATHCONA,1995-01-10
ROBUR,HASTINGS-SUNRISE,1995-01-09
CERASIFERA,HASTINGS-SUNRISE,1995-01-09
CALLERYANA,KITSILANO,1995-01-06
ROBUR,STRATHCONA,1995-01-09
CERASIFERA,STRATHCONA,1995-01-09
CERASIFERA,STRATHCONA,1995-01-09
CALLERYANA,KITSILANO,1995-01-05
CALLERYANA,KITSILANO,1995-01-05
CALLERYANA,KITSILANO,1995-01-05
CALLERYANA,KITSILANO,1995-01-05
CALLERYANA,KITSILANO,1995-01-05
CERASIFERA,STRATHCONA,1995-01-10
CALLERYANA,STRATHCONA,1995-01-11
CALLERYANA,STRATHCONA,1995-01-11
CALLERYANA,STRATHCONA,1995-01-11
CERASIFERA,HASTINGS-SUNRISE,1995-01-10
CERASIFERA,KENSINGTON-CEDAR COTTAGE,1995-01-10
X YEDOENSIS,STRATHCONA,1995-01-11
CALLERYANA,KITSILANO,1995-01-04
CALLERYANA,STRATHCONA,1995-01-23
CALLERYANA,STRATHCONA,1995-01-23
CALLERYANA,STRATHCONA,1995-01-23
CALLERYANA,STRATHCONA,1995-01-23
CALLERYANA,STRATHCONA,1995-01-23
CALLERYANA,STRATHCONA,1995-01-24
CALLERYANA,STRATHCONA,1995-01-24
CALLERYANA,STRATHCONA,1995-01-24
CALLERYANA,STRATHCONA,1995-01-24
FREEMANI   X,GRANDVIEW-WOODLAND,1997-03-25
CAPPADOCICUM,HASTINGS-SUNRISE,1998-04-27
OXYCARPA,ARBUTUS-RIDGE,1995-02-02
OXYCARPA,ARBUTUS-RIDGE,1995-02-02
PLATANOIDES,KERRISDALE,1995-02-27
PLATANOIDES,KERRISDALE,1995-02-24
PLATANOIDES,KERRISDALE,1995-02-24
PLATANOIDES,KERRISDALE,1995-02-24
PLATANOIDES,KERRISDALE,1995-03-13
PLATANOIDES,KERRISDALE,1995-03-13
PENNSYLVANICA,STRATHCONA,1995-01-03
PENNSYLVANICA,STRATHCONA,1995-01-03
FREEMANI   X,KILLARNEY,1995-01-09
PLATANOIDES,WEST POINT GREY,1995-01-26
PLATANOIDES,WEST POINT GREY,1995-01-26
PLATANOIDES,WEST POINT GREY,1995-01-26
CALLERYANA,STRATHCONA,1995-01-19
CALLERYANA,STRATHCONA,1995-01-26
CALLERYANA,STRATHCONA,1995-01-26
CALLERYANA,STRATHCONA,1995-01-25
CALLERYANA,STRATHCONA,1995-01-25
ROBUR,KENSINGTON-CEDAR COTTAGE,1995-01-26
PLATANOIDES,WEST POINT GREY,1995-01-25
PLATANOIDES,WEST POINT GREY,1995-01-25
PLATANOIDES,WEST POINT GREY,1995-01-25
CALLERYANA,STRATHCONA,1995-01-30
CALLERYANA,STRATHCONA,1995-01-30
PLATANOIDES,RENFREW-COLLINGWOOD,1995-01-29
PLATANOIDES,RENFREW-COLLINGWOOD,1995-01-29
PLATANOIDES,RENFREW-COLLINGWOOD,1995-01-27
ROBUR,KENSINGTON-CEDAR COTTAGE,1995-01-30
CALLERYANA,STRATHCONA,1995-01-27
OXYCARPA,ARBUTUS-RIDGE,1995-01-27
OXYCARPA,ARBUTUS-RIDGE,1995-01-27
PLATANOIDES,HASTINGS-SUNRISE,1995-02-03
PLATANOIDES,HASTINGS-SUNRISE,1995-02-03
OXYCARPA,ARBUTUS-RIDGE,1995-02-02
CALLERYANA,STRATHCONA,1995-02-01
PLATANOIDES,HASTINGS-SUNRISE,1995-02-13
PLATANOIDES,HASTINGS-SUNRISE,1995-02-13
PLATANOIDES,HASTINGS-SUNRISE,1995-02-13
PLATANOIDES,HASTINGS-SUNRISE,1995-02-13
OXYCARPA,KITSILANO,1995-02-13
OXYCARPA,KITSILANO,1995-02-13
OXYCARPA,KITSILANO,1995-02-13
OXYCARPA,KITSILANO,1995-02-13
CERASIFERA,HASTINGS-SUNRISE,1995-02-09
OXYCARPA,ARBUTUS-RIDGE,1995-02-06
OXYCARPA,HASTINGS-SUNRISE,1995-02-06
PLATANOIDES,HASTINGS-SUNRISE,1995-02-06
PLATANOIDES,HASTINGS-SUNRISE,1995-02-06
PLATANOIDES,HASTINGS-SUNRISE,1995-02-06
PLATANOIDES,HASTINGS-SUNRISE,1995-02-06
OXYCARPA,ARBUTUS-RIDGE,1995-02-07
OXYCARPA,ARBUTUS-RIDGE,1995-02-07
OXYCARPA,ARBUTUS-RIDGE,1995-02-07
OXYCARPA,ARBUTUS-RIDGE,1995-02-08
OXYCARPA,ARBUTUS-RIDGE,1995-02-08
OXYCARPA,ARBUTUS-RIDGE,1995-02-08
OXYCARPA,ARBUTUS-RIDGE,1995-02-09
OXYCARPA,ARBUTUS-RIDGE,1995-02-09
OXYCARPA,KITSILANO,1995-02-10
OXYCARPA,KITSILANO,1995-02-10
ROBUR,HASTINGS-SUNRISE,1995-02-10
PLATANOIDES,HASTINGS-SUNRISE,1995-02-10
PLATANOIDES,HASTINGS-SUNRISE,1995-02-10
PLATANOIDES,HASTINGS-SUNRISE,1995-02-10
PLATANOIDES,HASTINGS-SUNRISE,1995-02-10
PLATANOIDES,HASTINGS-SUNRISE,1995-02-08
OXYCARPA,HASTINGS-SUNRISE,1995-02-08
OXYCARPA,HASTINGS-SUNRISE,1995-02-08
OXYCARPA,HASTINGS-SUNRISE,1995-02-07
OXYCARPA,HASTINGS-SUNRISE,1995-02-07
OXYCARPA,HASTINGS-SUNRISE,1995-02-07
OXYCARPA,ARBUTUS-RIDGE,1995-02-07
OXYCARPA,ARBUTUS-RIDGE,1995-02-07
OXYCARPA,ARBUTUS-RIDGE,1995-02-01
OXYCARPA,ARBUTUS-RIDGE,1995-02-01
OXYCARPA,ARBUTUS-RIDGE,1995-02-17
PLATANOIDES,HASTINGS-SUNRISE,1995-02-16
PLATANOIDES,HASTINGS-SUNRISE,1995-02-16
PLATANOIDES,HASTINGS-SUNRISE,1995-02-16
OXYCARPA,ARBUTUS-RIDGE,1995-02-16
ROBUR,HASTINGS-SUNRISE,1995-02-16
ROBUR,HASTINGS-SUNRISE,1995-02-16
ROBUR,HASTINGS-SUNRISE,1995-02-14
TRIACANTHOS,RENFREW-COLLINGWOOD,1995-02-20
TRIACANTHOS,RENFREW-COLLINGWOOD,1995-02-20
TRIACANTHOS,RENFREW-COLLINGWOOD,1995-02-20
TRIACANTHOS,RENFREW-COLLINGWOOD,1995-02-17
TRIACANTHOS,RENFREW-COLLINGWOOD,1995-02-17
TRIACANTHOS,RENFREW-COLLINGWOOD,1995-02-17
PLATANOIDES,HASTINGS-SUNRISE,1995-02-17
SARGENTII,HASTINGS-SUNRISE,1995-02-17
SARGENTII,HASTINGS-SUNRISE,1995-02-17
ROBUR,HASTINGS-SUNRISE,1995-02-14
SARGENTII,HASTINGS-SUNRISE,1995-02-14
SARGENTII,HASTINGS-SUNRISE,1995-02-14
SARGENTII,HASTINGS-SUNRISE,1995-02-14
SARGENTII,HASTINGS-SUNRISE,1995-02-14
X YEDOENSIS,ARBUTUS-RIDGE,1996-03-18
ZUMI,SHAUGHNESSY,1995-02-21
ZUMI,SHAUGHNESSY,1995-02-21
ZUMI,SHAUGHNESSY,1995-02-21
CALLERYANA,VICTORIA-FRASERVIEW,1995-02-27
STYRACIFLUA,VICTORIA-FRASERVIEW,1995-02-27
STYRACIFLUA,VICTORIA-FRASERVIEW,1995-02-27
PLATANOIDES,KERRISDALE,1995-02-24
PLATANOIDES,KERRISDALE,1995-02-24
PLATANOIDES,KERRISDALE,1995-02-24
PLATANOIDES,KERRISDALE,1995-02-24
PENNSYLVANICA,SUNSET,1998-02-18
BETULUS,RENFREW-COLLINGWOOD,2007-03-12
TRIACANTHOS,RENFREW-COLLINGWOOD,1995-02-22
CERASIFERA,VICTORIA-FRASERVIEW,1995-02-23
TRIACANTHOS,RENFREW-COLLINGWOOD,1995-02-21
CALLERYANA,DOWNTOWN,1995-03-02
CALLERYANA,DOWNTOWN,1995-03-02
OXYCARPA,KITSILANO,1995-02-24
PENNSYLVANICA,KITSILANO,1995-02-24
STYRACIFLUA,WEST POINT GREY,1995-03-02
STYRACIFLUA,WEST POINT GREY,1995-03-02
STYRACIFLUA,WEST POINT GREY,1995-03-02
RUBRUM,RENFREW-COLLINGWOOD,1995-03-21
TRIACANTHOS,WEST POINT GREY,1995-03-07
PLATANOIDES,KERRISDALE,1995-02-23
FREEMANI   X,STRATHCONA,1995-02-28
FREEMANI   X,STRATHCONA,1995-02-28
STYRACIFLUA,WEST POINT GREY,1995-03-03
FREEMANI   X,KILLARNEY,1995-03-09
FREEMANI   X,WEST END,2000-02-24
CERASIFERA,KERRISDALE,1995-03-09
CERASIFERA,KERRISDALE,1995-03-09
PENNSYLVANICA,KENSINGTON-CEDAR COTTAGE,1995-03-08
PLATANOIDES,KENSINGTON-CEDAR COTTAGE,1995-03-09
PLATANOIDES,KENSINGTON-CEDAR COTTAGE,1995-03-09
FREEMANI   X,SUNSET,1995-03-09
TRIACANTHOS,HASTINGS-SUNRISE,1995-03-06
CALLERYANA,DOWNTOWN,1995-03-06
PENNSYLVANICA,KENSINGTON-CEDAR COTTAGE,1995-03-08
PENNSYLVANICA,KENSINGTON-CEDAR COTTAGE,1995-03-08
PENNSYLVANICA,KENSINGTON-CEDAR COTTAGE,1995-03-08
PENNSYLVANICA,KENSINGTON-CEDAR COTTAGE,1995-03-08
TRIACANTHOS,HASTINGS-SUNRISE,1995-03-01
FREEMANI   X,DUNBAR-SOUTHLANDS,1995-03-16
PENNSYLVANICA,RENFREW-COLLINGWOOD,1995-03-15
TRIACANTHOS,SUNSET,1995-03-13
TRIACANTHOS,SUNSET,1995-03-13
RUBRUM,KILLARNEY,1995-03-14
RUBRUM,KILLARNEY,1995-03-14
PLATANOIDES,VICTORIA-FRASERVIEW,1995-03-17
FREEMANI   X,DUNBAR-SOUTHLANDS,1995-03-17
FREEMANI   X,DUNBAR-SOUTHLANDS,1995-03-17
FREEMANI   X,GRANDVIEW-WOODLAND,1995-03-20
PLATANOIDES,VICTORIA-FRASERVIEW,1995-03-20
PLATANOIDES,VICTORIA-FRASERVIEW,1995-03-20
X YEDOENSIS,DUNBAR-SOUTHLANDS,1996-03-18
CERASIFERA,KERRISDALE,1995-03-10
CERASIFERA,KERRISDALE,1995-02-24
CERASIFERA,KERRISDALE,1995-03-10
CERASIFERA,KERRISDALE,1995-03-10
RUBRUM,OAKRIDGE,1995-03-24
PLATANOIDES,KENSINGTON-CEDAR COTTAGE,1995-03-23
PLATANOIDES,KENSINGTON-CEDAR COTTAGE,1995-03-23
RUBRUM,KENSINGTON-CEDAR COTTAGE,1995-03-23
RUBRUM,RILEY PARK,1995-03-23
RUBRUM,RILEY PARK,1995-03-23
PERSICA,RILEY PARK,1995-03-22
RUBRUM,RENFREW-COLLINGWOOD,1995-03-21
TRIACANTHOS,DOWNTOWN,1995-03-22
RUBRUM,SOUTH CAMBIE,1995-03-22
BETULUS,KILLARNEY,1995-03-22
TRIACANTHOS,RENFREW-COLLINGWOOD,1995-03-21
FREEMANI   X,KITSILANO,1998-03-31
CORDATA,KILLARNEY,1997-04-08
ARIA,VICTORIA-FRASERVIEW,1995-03-27
ARIA,VICTORIA-FRASERVIEW,1995-03-27
ARIA,VICTORIA-FRASERVIEW,1995-03-27
ARIA,VICTORIA-FRASERVIEW,1995-03-27
RUBRUM,RENFREW-COLLINGWOOD,1995-03-27
ARIA,HASTINGS-SUNRISE,1995-03-28
ZUMI,DUNBAR-SOUTHLANDS,1995-03-28
ZUMI,DUNBAR-SOUTHLANDS,1995-03-28
AMERICANA,RENFREW-COLLINGWOOD,1995-03-28
RUBRUM,SUNSET,2012-02-17
TRUNCATUM,KERRISDALE,1997-01-13
CERASIFERA,WEST POINT GREY,1995-03-29
ARIA,DUNBAR-SOUTHLANDS,1995-03-29
CERASIFERA,DUNBAR-SOUTHLANDS,1995-03-29
PLATANOIDES,GRANDVIEW-WOODLAND,1995-03-29
ZUMI,GRANDVIEW-WOODLAND,1995-03-29
PENNSYLVANICA,SHAUGHNESSY,1995-03-29
PENNSYLVANICA,SHAUGHNESSY,1995-03-29
FREEMANI   X,SOUTH CAMBIE,1995-03-29
FREEMANI   X,SUNSET,1995-03-10
FREEMANI   X,SUNSET,1995-03-10
FREEMANI   X,SUNSET,1995-03-10
RUBRUM,WEST POINT GREY,1995-03-30
RUBRUM,ARBUTUS-RIDGE,1995-03-30
RUBRUM,OAKRIDGE,1995-03-30
ARIA,ARBUTUS-RIDGE,1995-03-30
PLATANOIDES,FAIRVIEW,1995-03-30
PLATANOIDES,FAIRVIEW,1995-03-30
PLATANOIDES,FAIRVIEW,1995-03-30
PLATANOIDES,FAIRVIEW,1995-03-30
OXYCARPA,DUNBAR-SOUTHLANDS,1995-03-30
FREEMANI   X,MOUNT PLEASANT,1995-03-15
FREEMANI   X,MOUNT PLEASANT,1995-03-15
SARGENTII,GRANDVIEW-WOODLAND,1995-03-31
ZUMI,ARBUTUS-RIDGE,1995-03-31
CALLERYANA,DOWNTOWN,1995-04-03
CALLERYANA,DOWNTOWN,1995-04-03
AMERICANA,SHAUGHNESSY,2000-03-13
PLATANOIDES,SUNSET,1995-04-04
ZUMI,MOUNT PLEASANT,1995-04-04
TRIACANTHOS,RILEY PARK,1995-04-04
ROBUR,SUNSET,1995-04-04
RUBRUM,KENSINGTON-CEDAR COTTAGE,1995-03-31
RUBRUM,KENSINGTON-CEDAR COTTAGE,1995-03-31
ROBUR,KENSINGTON-CEDAR COTTAGE,1995-03-31
ROBUR,KENSINGTON-CEDAR COTTAGE,1995-03-31
ZUMI,SOUTH CAMBIE,1995-04-05
ZUMI,RENFREW-COLLINGWOOD,1995-04-05
ZUMI,RILEY PARK,1995-04-05
PLATANOIDES,WEST POINT GREY,1995-04-06
PLATANOIDES,WEST POINT GREY,1995-04-06
RUBRUM,DOWNTOWN,1995-04-05
